processing categories in: /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc11-categories.txt
Sales Executive	Advertising Sales Executive
Actuarial Assistant	Administrative Assistant
Accounting Technician	Accounting Assistant
Access Coordinator	Volunteer Coordinator
Medical Representative	Medical Assistant
Distribution Technician	Distribution Supervisor
Customer Service Officer	Customer Service Representative
Clinical Scheduler	Scheduler
Client Service Officer	Client Service Specialist
Billing Accountant	Accountant
Audit Supervisor	Auditor
Customer Service Consultant	Customer Service Representative
Travel Counselor	Travel Agent
Store Merchandiser	Merchandiser
Store Clerk	Clerk
Production Warehouse	Warehouse Assembler
Planning Supervisor	Production Supervisor
Grocery Clerk	Clerk
Financial Coordinator	Administrative Coordinator
Communications Operator	Communications Representative
Surgery Scheduler	Scheduler
Control Supervisor	Production Supervisor
Accounting Analyst	Business Analyst
Assistant Supervisor	Production Supervisor
soc43 Accuracy (%): 77.9264214047 (233/299)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc45-categories.txt
Field Laborer	General Laborer
Cable Puller	Cable Technician
Farm Equipment Operator	Equipment Operator
Harvest Supervisor	Harvest Worker
Farm Manager	Operations Manager
soc45 Accuracy (%): 68.8888888889 (31/45)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc47-categories.txt
Construction Project Coordinator	Construction Coordinator
Finish Carpenter	Carpenter
Master Plumber	Plumber
Construction Administrator	Construction Laborer
Framing Carpenter	Carpenter
Form Carpenter	Carpenter
Commercial Carpenter	Carpenter
Service Electrician	Electrician
Field Supervisor	Systems Supervisor
Plant Electrician	Electrician
Residential Electrician	Electrician
Carpenter Helper	Carpenter
Lead Carpenter	Carpenter
Crew Leader	Maintenance Technician
Construction Scheduler	Construction Laborer
Rough Carpenter	Carpenter
Installation Manager	Maintenance Manager
Project Administrator	Contracts Administrator
Solar Panel Installer	Solar Photovoltaic (PV) Installer
General Foreman	General Laborer
Lead Electrician	Electrician
Construction Engineer and Inspection (CEI) Inspector	Construction Engineer
Substation Electrician	Electrician
Instrument Fitter	Structural Fitter
Facilities Electrician	Maintenance Electrician
Field Inspector	Home Inspector
Construction Materials Technician	Construction Technician
Jack Operator	Forklift Operator
Water Proofer	Water and Wastewater Engineer
Electrical Maintenance Technician	Manufacturing Maintenance Technician
Electrical Inspector	Electrical Assembler
Air Conditioning (AC) Electrician	Maintenance Mechanic
Heating, Ventilation, and Air Conditioning (HVAC) Duct Installer	Heating, Ventilation, and Air Conditioning (HVAC) Mechanic
Equipment Operator Assistant	Equipment Operator
Drywall Carpenter	Carpenter
Carpenter Foreman	Carpenter
Carpenter Assembler	Carpenter
Lead Installer	Security Systems Installer
Journeyman Carpenter	Carpenter
Utility Foreman	Foreman
Well Test Operator	Senior Test Engineer
Project Supervisor	Production Supervisor
Maintenance Carpenter	Carpenter
Construction Lead	Construction Laborer
Tradesman	Maintenance Mechanic
Field Electrician	Electrician
General Helper	Electrician Helper
soc47 Accuracy (%): 71.1764705882 (121/170)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc49-categories.txt
Field Service Technician	Maintenance Technician
Helicopter Mechanic	Maintenance Mechanic
Maintenance Coordinator	Maintenance Mechanic
Structures Mechanic	Maintenance Mechanic
Equipment Mechanic	Maintenance Mechanic
Aircraft Mechanic	Maintenance Mechanic
Trailer Mechanic	Maintenance Mechanic
Maintenance Machinist	CNC Machinist
Field Service Technician	Maintenance Technician
Electronic Technician	Electronics Technician
Airframe Powerplant Technician	Avionics Technician
HVAC Journeyman	HVAC Refrigeration Technician
Field Service Engineer	Field Engineer
Instrumentation and Electrical Technician	Instrumentation Technician
Plant Maintenance Technician	Maintenance Technician
Wireless Technician	PC Technician
Television Repair Technician	Repair Technician
Journeyman Lineman	Lineman
Utilities Technician	Maintenance Technician
Shop Helper	Maintenance Assistant
Valve Technician	Maintenance Technician
Assembly Mechanic	Mechanical Assembler
Trades Helper	Maintenance Helper
Refrigeration Technician	HVAC Refrigeration Technician
Service Technician	General Service Technician
Power Technician	Maintenance Technician
Compressor Mechanic	Maintenance Mechanic
Plant Operations Technician	Plant Operator
Mobile Technician	Maintenance Technician
Maintenance Operator	Maintenance Mechanic
Bus Technician	Maintenance Technician
Truck Technician	Maintenance Technician
Maintenance Analyst	Maintenance Mechanic
Shop Manager	Manufacturing Manager
Communication Technician	Maintenance Technician
Systems Supervisor	Mechanic Supervisor
Control Supervisor	Production Supervisor
soc49 Accuracy (%): 74.5341614907 (120/161)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc51-categories.txt
Manual Machinist	CNC Machinist
Quality Assurance Inspector	Quality Inspector
Maintenance Supervisor	Maintenance Manager
Quality Technician	Quality Assurance Engineer
Production Coordinator	Production Worker
Production Laborer	Production Worker
Production Helper	Production Worker
Tool and Die Technician	Tool Maker
Maintenance Machinist	CNC Machinist
Composite Technician	Assembly Technician
Quality Coordinator	Quality Inspector
Shop Foreman	Maintenance Foreman
Cable Assembler	Mechanical Assembler
Production Specialist	Control Specialist
Tool and Die Machinist	CNC Machinist
Certified Welding Inspector	Welder
Assembly Lead	Assembly Supervisor
Machinist Mate	CNC Machinist
Lab Technician	Laboratory Technician
Press Assistant	Press Operator
Operations Coordinator	Training Coordinator
Conventional Machinist	CNC Machinist
Materials Supervisor	Production Supervisor
Manufacturing Lead	Manufacturing Supervisor
Parts Inspector	Quality Inspector
Assembler Tester	Mechanical Assembler
Coating Operator	Machine Operator
Quality Specialist	Quality Control Specialist
Operator Lead	Machine Operator
Tooling Manager	Tool Maker
Quality Lead	Quality Engineer
Warehouse Assembler	Packer
Digital Operator	Machine Operator
Machine Technician	Maintenance Technician
Operator Assistant	Research Assistant
Utilities Operator	Machine Operator
Production Assistant	Production Worker
Operations Processor	Operations Assistant
Quality Assurance (QA) Coordinator	Quality Assurance (QA) Tester
Technician Supervisor	Pharmacy Technician
Planning Supervisor	Production Supervisor
Control Supervisor	Production Supervisor
Assistant Supervisor	Production Supervisor
soc51 Accuracy (%): 75.2688172043 (140/186)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc53-categories.txt
Driver Helper	Delivery Driver
Laborer	General Laborer
Catering Driver	Truck Driver
Driver Trainee	Truck Driver
Regional Truck Driver	Truck Driver
Distribution Center Supervisor	Distribution Center Manager
Conductor Trainee	Conductor
Distribution Center Manager	Distribution Manager
Clamp Forklift Operator	Forklift Operator
Furniture Delivery Driver	Delivery Driver
Warehouse Coordinator	Warehouse Worker
High Reach Forklift Operator	Forklift Operator
Warehouse Production Operator	Production Operator
Assistant Warehouse Manager	Warehouse Manager
Assistant Transportation Manager	Transportation Manager
Truck Unloader	Warehouse Unloader
Pipeline Technician	Field Technician
Transportation Technician	Transportation Supervisor
Production Warehouse	Warehouse Assembler
Controller	Assistant Controller
Control Supervisor	Production Supervisor
Transportation Aide	Nurse Aide
soc53 Accuracy (%): 78.6324786325 (92/117)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc55-categories.txt
Center Standards and Incentives Officer	Financial Center Manager
Radar Technician	Electronics Technician
Weapons Technician	Maintenance Technician
soc55 Accuracy (%): 76.1904761905 (16/21)
Total Accuracy (%): 74.8766041461 (3034/4052)
